ĐỀ MỤC,CHỦ ĐỀ CON,MÃ SỐ,CÂU HỎI,CÂU TRẢ LỜI,keywords
BỆNH ĐTĐ,,Q001,Bệnh đái tháo đường là bệnh gì vậy bác sĩ?,"Đái tháo đường là một bệnh mạn tính, nghĩa là kéo dài nhiều năm và khó chữa khỏi hoàn toàn. Bệnh xảy ra khi đường huyết (đường trong máu) tăng cao hơn mức bình thường do cơ thể không sản xuất đủ insulin hoặc không sử dụng insulin hiệu quả. Đường huyết cao lâu dài sẽ gây tổn thương đến tim, mạch máu, mắt, thận và hệ thần kinh. Nếu được phát hiện sớm và kiểm soát tốt, bạn vẫn có thể sống khỏe mạnh, giảm nguy cơ biến chứng.",bệnh đái tháo đường; tiểu đường là gì; định nghĩa ĐTĐ; bệnh mãn tính; đường huyết cao; rối loạn chuyển hóa
BỆNH ĐTĐ,,Q002,Vì sao bệnh đái tháo đường lại nguy hiểm?,"Nguy hiểm của bệnh là đường huyết cao không gây đau ngay lập tức nên nhiều người chủ quan. Tuy nhiên, nếu kéo dài, nó sẽ âm thầm làm hỏng mạch máu và các cơ quan quan trọng như tim, mắt, thận, thần kinh. Điều này có thể dẫn tới mù lòa, suy thận, nhồi máu cơ tim, đột quỵ hoặc mất cảm giác ở chân tay. Do đó, điều trị và kiểm soát sớm là rất quan trọng.",biến chứng ĐTĐ; nguy hiểm tiểu đường; hậu quả ĐTĐ; biến chứng tim mạch; biến chứng thận; tổn thương thần kinh
BỆNH ĐTĐ,,Q003,Bác sĩ nói bệnh này là rối loạn chuyển hóa nghĩa là sao?,"“Rối loạn chuyển hóa” nghĩa là cơ thể bạn gặp vấn đề trong việc xử lý và sử dụng năng lượng từ thức ăn, đặc biệt là đường (glucose). Bình thường, insulin giúp đưa đường từ máu vào tế bào để tạo năng lượng. Nhưng khi bị đái tháo đường, quá trình này bị rối loạn, khiến đường tích tụ trong máu thay vì được sử dụng.",rối loạn chuyển hóa; chuyển hóa đường; glucose; insulin; cơ chế bệnh ĐTĐ
BỆNH ĐTĐ,,Q004,Insulin là gì và có vai trò gì?,"Insulin là một loại hormone do tuyến tụy sản xuất. Nhiệm vụ của nó là đưa đường từ máu vào tế bào để cơ thể sử dụng hoặc dự trữ làm năng lượng. Ở người mắc đái tháo đường, cơ thể có thể không sản xuất đủ insulin hoặc không sử dụng insulin hiệu quả. Khi thiếu insulin, đường huyết tăng cao và lâu ngày gây hại cho cơ thể.",insulin là gì; vai trò insulin; hormone insulin; chức năng insulin; hạ đường huyết; tuyến tụy
BỆNH ĐTĐ,,Q005,Nếu cơ thể tôi thiếu insulin thì chuyện gì xảy ra?,"Khi thiếu insulin, đường từ thức ăn sẽ không được vận chuyển vào tế bào, dẫn đến tích tụ trong máu. Lúc này, tế bào “đói” năng lượng, cơ thể phải lấy năng lượng từ mỡ và cơ, gây sụt cân và sinh ra chất độc như ketone. Đường huyết cao lâu dài sẽ gây biến chứng nghiêm trọng ở nhiều cơ quan.",thiếu insulin; hậu quả thiếu insulin; đường huyết tăng cao; ĐTĐ type 1
BỆNH ĐTĐ,,Q006,Người bị đái tháo đường luôn phải tiêm insulin đúng không?,"Không phải ai cũng cần tiêm insulin. Người bị đái tháo đường type 1 buộc phải tiêm insulin hằng ngày. Người bị type 2 có thể kiểm soát bằng chế độ ăn, tập luyện và thuốc uống, chỉ tiêm khi các cách này không hiệu quả. Việc tiêm insulin cần theo chỉ định của bác sĩ.",tiêm insulin; điều trị insulin; ĐTĐ type 1; ĐTĐ type 2; insulin không bắt buộc
BỆNH ĐTĐ,,Q007,Tôi có thể tự biết mình bị đái tháo đường không hay phải đi khám?,"Một số người có triệu chứng rõ như tiểu nhiều, khát nhiều, mệt mỏi, sụt cân. Nhưng nhiều trường hợp bệnh tiến triển âm thầm. Cách chắc chắn nhất là làm xét nghiệm đường huyết và HbA1c tại cơ sở y tế. Kết quả xét nghiệm là cơ sở để chẩn đoán chính xác.",dấu hiệu ĐTĐ; triệu chứng ĐTĐ; tự chẩn đoán ĐTĐ; đi khám ĐTĐ; xét nghiệm ĐTĐ
BỆNH ĐTĐ,,Q008,Đường huyết đói là gì vậy bác sĩ?,"Đường huyết đói là lượng đường trong máu được đo sau khi bạn nhịn ăn ít nhất 8 tiếng (thường là qua đêm). Xét nghiệm này thường làm vào buổi sáng, trước khi ăn sáng. Nếu chỉ số ≥ 126 mg/dL ở ít nhất hai lần xét nghiệm khác nhau, bác sĩ có thể chẩn đoán bạn bị đái tháo đường.",đường huyết đói; glucose huyết đói; định nghĩa đường huyết đói; xét nghiệm đói
BỆNH ĐTĐ,,Q009,HbA1c là gì và tại sao cần xét nghiệm này?,"HbA1c là chỉ số phản ánh mức đường huyết trung bình trong 2–3 tháng gần nhất. Nó giúp bác sĩ đánh giá tình trạng kiểm soát đường huyết lâu dài, không chỉ tại một thời điểm. Nếu HbA1c ≥ 6.5%, bạn có khả năng mắc đái tháo đường và cần được tư vấn điều trị.",HbA1c là gì; xét nghiệm HbA1c; chỉ số HbA1c; đường huyết trung bình; kiểm soát ĐTĐ
BỆNH ĐTĐ,,Q010,Tại sao phải nhịn ăn trước khi đo đường huyết đói?,"Nhịn ăn ít nhất 8 tiếng giúp kết quả xét nghiệm phản ánh chính xác lượng đường cơ bản trong máu, không bị ảnh hưởng bởi thức ăn mới nạp vào. Nếu ăn trước khi xét nghiệm, đường huyết sẽ tăng tạm thời, gây sai lệch kết quả chẩn đoán.",nhịn ăn đo đường huyết; lý do nhịn ăn; đường huyết đói; kết quả chính xác; chuẩn bị xét nghiệm
BỆNH ĐTĐ,,Q011,Nếu chỉ số HbA1c của tôi cao thì chắc chắn tôi bị tiểu đường không?,"HbA1c ≥ 6.5% là một trong các tiêu chí chẩn đoán đái tháo đường. Tuy nhiên, bác sĩ thường kết hợp với các xét nghiệm khác và đánh giá triệu chứng để khẳng định chẩn đoán. Một số yếu tố khác như bệnh máu, thiếu máu có thể ảnh hưởng kết quả.",HbA1c cao; chẩn đoán tiểu đường; HbA1c chẩn đoán; xác định bệnh; kết quả HbA1c
