ĐỀ MỤC,CHỦ ĐỀ CON,MÃ SỐ,CÂU HỎI,CÂU TRẢ LỜI,keywords
Biến chứng của ĐTĐ,,Q001,Biến chứng cấp tính của bệnh đái tháo đường là gì?,"Biến chứng cấp tính là những tình trạng xảy ra nhanh chóng, đột ngột, đe dọa tính mạng và cần xử trí ngay, bao gồm: nhiễm toan ceton, tăng áp lực thẩm thấu, hạ đường huyết, và một số biến chứng răng miệng cấp tính như nhiễm trùng vùng hàm mặt, khô miệng cấp.",biến chứng cấp tính ĐTĐ; biến chứng ĐTĐ; cấp tính; tiểu đường; biến chứng nguy hiểm
Biến chứng của ĐTĐ,,Q002,Nhiễm toan ceton là gì?,"Nhiễm toan ceton (diabetic ketoacidosis) xảy ra khi cơ thể thiếu insulin nghiêm trọng, khiến glucose không vào được tế bào, buộc cơ thể phân giải mỡ để tạo năng lượng. Quá trình này tạo ra ceton tích tụ trong máu, gây nhiễm toan.",nhiễm toan ceton; toan ceton; ceton ĐTĐ; định nghĩa toan ceton; biến chứng ĐTĐ
Biến chứng của ĐTĐ,,Q003,Triệu chứng của nhiễm toan ceton gồm những gì?,"Khát nước nhiều, tiểu nhiều, đau bụng, buồn nôn, thở nhanh, hơi thở mùi trái cây chín, mệt mỏi và lú lẫn. Nếu không điều trị, có thể dẫn đến hôn mê và tử vong.",triệu chứng toan ceton; dấu hiệu toan ceton; biểu hiện toan ceton; nhiễm toan ceton
Biến chứng của ĐTĐ,,Q004,Nguyên nhân chính gây nhiễm toan ceton ở bệnh nhân đái tháo đường là gì?,"Nguyên nhân thường gặp là không tiêm insulin đủ liều, bỏ liều, nhiễm trùng nặng hoặc căng thẳng cơ thể khiến nhu cầu insulin tăng cao nhưng không được đáp ứng.",nguyên nhân toan ceton; gây toan ceton; toan ceton; lý do toan ceton; nhiễm toan ceton
Biến chứng của ĐTĐ,,Q005,Tăng áp lực thẩm thấu trong đái tháo đường là gì?,"Tăng áp lực thẩm thấu (hyperosmolar hyperglycemic state) là tình trạng đường huyết tăng rất cao, gây mất nước nặng, đặc biệt ở người lớn tuổi. Không giống nhiễm toan ceton, tình trạng này ít tạo ceton nhưng vẫn có nguy cơ hôn mê.",tăng áp lực thẩm thấu; áp lực thẩm thấu; định nghĩa tăng thẩm thấu; biến chứng ĐTĐ
Biến chứng của ĐTĐ,,Q006,Triệu chứng của tăng áp lực thẩm thấu là gì?,"Khát nước dữ dội, tiểu nhiều, mất nước nặng, lú lẫn, co giật và hôn mê. Cần cấp cứu ngay để tránh nguy hiểm tính mạng.",triệu chứng tăng thẩm thấu; dấu hiệu tăng thẩm thấu; biểu hiện tăng thẩm thấu; tăng áp lực thẩm thấu
Biến chứng của ĐTĐ,,Q007,Hạ đường huyết là gì?,"Hạ đường huyết xảy ra khi lượng đường trong máu thấp hơn 3,9 mmol/L, thường do dùng quá liều insulin hoặc thuốc hạ đường huyết, bỏ bữa hoặc vận động quá sức mà không bù năng lượng.",hạ đường huyết là gì; hạ đường huyết; đường huyết thấp; đường huyết giảm; tụt đường huyết; thiếu đường
Biến chứng của ĐTĐ,,Q008,Triệu chứng của hạ đường huyết gồm những gì?,"Đói cồn cào, run tay chân, vã mồ hôi, tim đập nhanh, chóng mặt, lú lẫn. Nếu nặng có thể gây co giật hoặc hôn mê.",triệu chứng hạ đường huyết; dấu hiệu hạ đường huyết; biểu hiện hạ đường huyết; hạ đường huyết có gì; cảm giác hạ đường huyết; dấu hiệu tụt đường
Biến chứng của ĐTĐ,,Q009,Biến chứng răng miệng cấp tính ở bệnh nhân đái tháo đường là gì?,"Bao gồm nhiễm trùng vùng hàm mặt, viêm mô tế bào, áp-xe, và khô miệng cấp tính. Các tình trạng này tiến triển nhanh hơn và nặng hơn do sức đề kháng giảm.",biến chứng răng miệng cấp tính; cấp tính răng miệng đtđ; vấn đề răng miệng đtđ cấp tính; răng miệng đái tháo đường cấp; biến chứng miệng đtđ cấp
Biến chứng của ĐTĐ,,Q010,Biến chứng mạn tính của bệnh đái tháo đường là gì?,"Là những biến chứng tiến triển từ từ trong nhiều năm, gây tổn thương lâu dài ở nhiều cơ quan: mắt, thận, thần kinh, tim mạch, mạch máu ngoại biên, bàn chân và răng miệng.",biến chứng mạn tính đtđ; mạn tính đái tháo đường; biến chứng tiểu đường lâu dài; hậu quả đtđ mạn tính; bệnh tiểu đường mạn tính
