ĐỀ MỤC,CHỦ ĐỀ CON,MÃ SỐ,CÂU HỎI,CÂU TRẢ LỜI,keywords
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0271,Hôi miệng là gì?,"Hôi miệng là tình trạng hơi thở có mùi hôi dai dẳng, xuất phát chủ yếu từ khoang miệng (90%) hoặc ngoài miệng (10%), gây ảnh hưởng đến giao tiếp và chất lượng sống.",Hôi miệng là gì; Định nghĩa hôi miệng; Mùi hơi thở; Hơi thở có mùi; Miệng có mùi; Hôi miệng
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0272,Chất gây mùi chính trong hôi miệng là gì?,"Các hợp chất lưu huỳnh bay hơi (VSCs) như hydrogen sulfide, methyl mercaptan và dimethyl sulfide do vi khuẩn kỵ khí phân hủy protein trong mảng bám tạo ra.",Hôi miệng; chất gây mùi; VSCs; hợp chất lưu huỳnh; nguyên nhân hôi miệng; vi khuẩn kỵ khí; mùi hôi; hơi thở có mùi
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0273,Triệu chứng điển hình của hôi miệng là gì?,"Hơi thở mùi khó chịu kéo dài, rõ hơn vào buổi sáng, người bệnh hoặc người xung quanh đều nhận thấy, thường kèm viêm nha chu, sâu răng lớn, khô miệng.",Triệu chứng hôi miệng; Dấu hiệu hôi miệng; Mùi hơi thở; Lưỡi trắng; Khô miệng; Vị lạ miệng; Hôi miệng
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0274,Hôi miệng ảnh hưởng thế nào đến tâm lý người bệnh?,"Hôi miệng gây e ngại, mất tự tin, hạn chế giao tiếp và làm giảm chất lượng cuộc sống.",Ảnh hưởng tâm lý; Tự ti hôi miệng; Lo lắng hôi miệng; Giao tiếp xã hội; Trầm cảm hôi miệng; Chất lượng cuộc sống; Hạn chế giao tiếp
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0275,Nguyên nhân tại khoang miệng gây hôi miệng gồm những gì?,"Vi khuẩn kỵ khí trong túi nha chu, mặt lưỡi, phục hình cũ; viêm nha chu hoại tử, viêm lợi trùm, sâu răng lớn, nấm miệng, khô miệng kéo dài, vệ sinh răng miệng kém.",Nguyên nhân khoang miệng; Vệ sinh răng miệng; Sâu răng; Bệnh nướu; Viêm nha chu; Lưỡi bẩn; Vi khuẩn miệng; Khô miệng; Thức ăn thừa
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0276,Halitophobia là gì?,"Là tình trạng bệnh nhân lo sợ mình bị hôi miệng dù thực tế không có mùi, thường liên quan yếu tố tâm lý.",Halitophobia; sợ hôi miệng; hôi miệng ảo; hôi miệng tâm lý; ảo tưởng hôi miệng; lo lắng hôi miệng
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0277,Vì sao bệnh nhân ĐTĐ dễ bị hôi miệng?,"Do khô miệng, viêm nha chu mạn, nhiễm nấm Candida, rối loạn thần kinh – vi tuần hoàn và tăng glucose trong nước bọt, tạo môi trường thuận lợi cho vi khuẩn sinh mùi.",đái tháo đường; hôi miệng; tăng đường huyết; khô miệng; viêm nha chu; nhiễm trùng miệng; biến chứng ĐTĐ
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0278,Khô miệng ảnh hưởng thế nào đến hôi miệng ở bệnh nhân ĐTĐ?,"Khô miệng làm giảm khả năng tự làm sạch của nước bọt, tăng sự tích tụ mảng bám và vi khuẩn kỵ khí sinh mùi.",khô miệng; hôi miệng; giảm nước bọt; vi khuẩn kỵ khí; tích tụ mảng bám; pH miệng; suy giảm tự làm sạch
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0279,Viêm nha chu mạn tính liên quan thế nào đến hôi miệng?,"Viêm nha chu mạn tính làm tăng sản xuất VSCs như methyl mercaptan, gây mùi hôi đặc trưng và kéo dài.",viêm nha chu mạn tính; hôi miệng; vi khuẩn kỵ khí; hợp chất sulfur; viêm nướu; túi nha chu; chảy máu nướu
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0280,Nhiễm nấm Candida có thể gây hôi miệng không?,"Có, nấm Candida có thể góp phần gây mùi khó chịu và thường gặp ở bệnh nhân ĐTĐ do suy giảm miễn dịch tại chỗ.",Nấm Candida; Hôi miệng; Nấm miệng; Candida hôi miệng; Đái tháo đường; ĐTĐ; Nấm miệng ĐTĐ; Suy giảm miễn dịch
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0281,Hơi thở mùi acetone ở bệnh nhân ĐTĐ cảnh báo điều gì?,Đây có thể là dấu hiệu nhiễm toan ceton – một tình trạng cấp cứu nội khoa cần xử trí khẩn cấp.,hơi thở mùi acetone; nhiễm toan ceton; cấp cứu ĐTĐ; thiếu insulin; đường huyết rất cao; mất bù chuyển hóa; biến chứng đái tháo đường
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0282,Vì sao kiểm soát đường huyết tốt giúp giảm hôi miệng ở bệnh nhân ĐTĐ?,"Giúp giảm khô miệng, giảm viêm nha chu và hạn chế tăng glucose trong nước bọt – các yếu tố gây mùi.",kiểm soát đường huyết; giảm hôi miệng; ổn định đường huyết; giảm viêm nha chu; giảm khô miệng; cải thiện miễn dịch; ngăn ngừa biến chứng
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0283,Bác sĩ cần làm gì để xác định nguyên nhân hôi miệng?,"Kiểm tra răng sâu, tình trạng viêm nha chu, bề mặt lưỡi, niêm mạc miệng và các phục hình nha khoa.",chẩn đoán hôi miệng; nguyên nhân hôi miệng; khám hôi miệng; xét nghiệm hôi miệng; đánh giá hôi miệng; xác định nguồn gốc; khám răng miệng
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0284,Biện pháp vệ sinh răng miệng nào giúp giảm hôi miệng?,"Chải răng đúng cách, vệ sinh lưỡi, dùng chỉ nha khoa và súc miệng phù hợp.",Hôi miệng; Halitosis; Vệ sinh răng miệng; Biện pháp hôi miệng; Giảm hôi miệng; Chăm sóc răng miệng; Vệ sinh lưỡi; Chải răng
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0285,Bệnh nhân hôi miệng do khô miệng nên làm gì?,"Uống đủ nước, dùng viên ngậm không đường hoặc các sản phẩm thay thế nước bọt để giữ ẩm khoang miệng.",hôi miệng do khô miệng; điều trị khô miệng; tăng tiết nước bọt; vệ sinh răng miệng; uống đủ nước; giữ ẩm miệng; nước bọt nhân tạo; thuốc kích thích tuyến nước bọt
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0286,Khi nào cần chuyển bệnh nhân hôi miệng sang chuyên khoa RHM?,"Khi hôi miệng kéo dài dù đã vệ sinh tốt, hoặc kèm viêm nha chu, nấm miệng, phục hình không phù hợp.",chuyển chuyên khoa RHM; giới thiệu nha sĩ; khi nào chuyển viện; hôi miệng nha khoa; bệnh lý răng miệng; điều trị nha khoa; khám nha khoa; hôi miệng dai dẳng
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0287,Khi nào cần tư vấn tâm lý cho bệnh nhân hôi miệng?,Khi nghi ngờ halitophobia hoặc bệnh nhân bị ảnh hưởng tâm lý nặng nề bởi hơi thở.,tư vấn tâm lý; hôi miệng tâm lý; lo lắng hôi miệng; ám ảnh hôi miệng; bệnh giả hôi miệng; ảnh hưởng tâm lý; rối loạn lo âu; stress hôi miệng
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0288,Bệnh nhân ĐTĐ nên làm gì để phòng ngừa hôi miệng?,"Kiểm soát đường huyết, vệ sinh răng miệng tốt, giữ ẩm miệng, khám nha định kỳ và điều trị sớm bệnh lý răng miệng.",ĐTĐ hôi miệng; phòng ngừa hôi miệng; kiểm soát đường huyết; vệ sinh răng miệng; khô miệng; halitosis ĐTĐ; biến chứng miệng ĐTĐ
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0289,Vì sao hôi miệng cần được coi là dấu hiệu cảnh báo sức khỏe?,Vì có thể liên quan đến bệnh răng miệng mạn tính hoặc biến chứng toàn thân ở bệnh nhân ĐTĐ.,hôi miệng cảnh báo; dấu hiệu sức khỏe; bệnh lý toàn thân; hôi miệng bệnh lý; bệnh tiềm ẩn; cảnh báo sức khỏe; hệ lụy sức khỏe; hôi miệng và bệnh
BỆNH LÝ RĂNG MIỆNG,Hôi miệng,Q0290,Bác sĩ y khoa có vai trò gì trong xử trí hôi miệng ở bệnh nhân ĐTĐ?,"Phát hiện sớm, xác định nguyên nhân, tư vấn kiểm soát đường huyết, hướng dẫn vệ sinh và phối hợp chuyên khoa RHM khi cần.",vai trò bác sĩ; xử trí hôi miệng; hôi miệng ĐTĐ; quản lý hôi miệng; bác sĩ nội tiết; chăm sóc tổng thể; phối hợp điều trị
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0231,Khô miệng là gì?,"Khô miệng là cảm giác chủ quan khô trong khoang miệng, thường đi kèm với giảm tiết nước bọt thật sự. Đây là một triệu chứng phổ biến nhưng dễ bị bỏ sót, đặc biệt ở người cao tuổi và bệnh nhân đái tháo đường.",Khô miệng; Định nghĩa khô miệng; Triệu chứng khô miệng; Thiếu nước bọt; Giảm tiết nước bọt; Xerostomia
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0232,Lưu lượng nước bọt bao nhiêu được coi là giảm tiết rõ rệt?,"Giảm tiết rõ rệt được xác định khi lưu lượng nước bọt không kích thích (UWS) nhỏ hơn 0,1 mL/phút.",khô miệng; giảm tiết nước bọt; lưu lượng nước bọt; xerostomia; UWS; ngưỡng tiết nước bọt; định nghĩa giảm tiết; đo nước bọt
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0233,Khô miệng ảnh hưởng đến bao nhiêu phần trăm dân số chung?,"Khoảng 22% dân số chung bị khô miệng, và tỷ lệ này tăng theo tuổi.",Khô miệng; Tỷ lệ khô miệng; Dân số chung; Tỷ lệ hiện mắc; Dịch tễ khô miệng; Thống kê khô miệng
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0234,"Ở bệnh nhân đái tháo đường, tỷ lệ khô miệng là bao nhiêu?","Khoảng 34–51% bệnh nhân đái tháo đường bị khô miệng, tỷ lệ cao hơn nếu kiểm soát glucose kém.",Khô miệng; Đái tháo đường; Tỷ lệ khô miệng; Biến chứng đái tháo đường; Khô miệng đái tháo đường; Tiểu đường
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0235,Đái tháo đường gây khô miệng qua cơ chế thần kinh như thế nào?,"Đái tháo đường có thể gây tổn thương thần kinh tự chủ, làm giảm hoạt động của tuyến nước bọt, dẫn đến giảm tiết nước bọt.",Đái tháo đường; Khô miệng; Cơ chế thần kinh; Biến chứng thần kinh; Bệnh thần kinh; Thần kinh tự chủ; Dây thần kinh
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0236,Rối loạn vi tuần hoàn ảnh hưởng gì đến tuyến nước bọt?,"Rối loạn vi tuần hoàn làm giảm tưới máu mô tuyến, hạn chế khả năng tiết nước bọt và góp phần gây khô miệng.",Rối loạn vi tuần hoàn; Tuyến nước bọt; Khô miệng; Xerostomia; Vi tuần hoàn; Tưới máu tuyến; Chức năng nước bọt
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0237,Glucose trong nước bọt tăng gây tác động gì?,"Nồng độ glucose cao trong nước bọt thay đổi hệ sinh thái miệng, tạo điều kiện cho vi khuẩn và nấm phát triển, tăng nguy cơ bệnh răng miệng.",glucose nước bọt; sâu răng; nấm miệng; viêm nướu; vi khuẩn miệng; pH nước bọt; biến chứng răng miệng; tiểu đường khô miệng
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0238,Những loại thuốc nào có thể gây khô miệng?,"Một số thuốc như lợi tiểu, thuốc hạ huyết áp và thuốc chống trầm cảm có thể làm giảm tiết nước bọt và gây khô miệng.",thuốc gây khô miệng; tác dụng phụ thuốc; thuốc chống trầm cảm; thuốc kháng histamin; thuốc lợi tiểu; thuốc huyết áp; thuốc chống lo âu; xerostomia do thuốc
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0239,Triệu chứng điển hình của khô miệng là gì?,"Cảm giác khô, dính, rát bỏng trong miệng, thường nặng hơn về đêm, kèm khó ăn, khó nuốt, khó nói, và nứt môi.",khô miệng; xerostomia; triệu chứng khô miệng; dấu hiệu khô miệng; biểu hiện khô miệng; miệng khô dính; rát bỏng miệng; khó nuốt; khó nói; lâm sàng khô miệng
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0240,Khô miệng có thể gây mất vị giác không?,Có. Người bị khô miệng lâu ngày có thể bị giảm hoặc mất khả năng cảm nhận vị giác.,khô miệng; mất vị giác; giảm vị giác; xerostomia; ageusia; vị giác; tuyến nước bọt; biến chứng khô miệng
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0241,Khô miệng ảnh hưởng thế nào đến răng miệng?,"Làm tăng nguy cơ sâu răng, hôi miệng, nhiễm nấm miệng lan rộng và viêm nha chu.",khô miệng; sâu răng; viêm nướu; viêm nha chu; nấm miệng; hôi miệng; mất men răng; khó nuốt; giảm nước bọt
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0242,Biến chứng toàn thân của khô miệng là gì?,"Gây giảm chất lượng sống, ảnh hưởng ăn uống, giao tiếp, và tăng nguy cơ đau vùng miệng – mặt.",khô miệng; xerostomia; biến chứng toàn thân; hậu quả khô miệng; giảm tiết nước bọt; ảnh hưởng khô miệng; khó nuốt; đau hàm mặt
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0243,Vì sao khô miệng làm tăng nguy cơ viêm nha chu?,"Thiếu nước bọt làm giảm khả năng làm sạch mảng bám và trung hòa acid, tạo điều kiện cho vi khuẩn gây viêm nha chu phát triển.",khô miệng viêm nha chu; nguy cơ viêm nha chu; giảm nước bọt; vi khuẩn miệng; mảng bám; pH nước bọt; miễn dịch miệng; viêm nướu
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0244,Khô miệng kéo dài có thể dẫn đến mất răng không?,"Có. Khô miệng làm tăng sâu răng và viêm nha chu, là nguyên nhân chính dẫn đến mất răng ở nhiều bệnh nhân.",Khô miệng; Mất răng; Xerostomia; Sâu răng; Viêm nha chu; Khô miệng mất răng; Hậu quả khô miệng; Biến chứng khô miệng
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0245,Bác sĩ nên hỏi bệnh nhân thế nào để phát hiện khô miệng?,"Nên hỏi: “Anh/chị có thường cảm thấy khô miệng, đặc biệt về đêm không?” và tìm hiểu kèm theo các triệu chứng ăn, nuốt, nói khó.",câu hỏi khô miệng; triệu chứng khô miệng; hỏi bệnh khô miệng; đánh giá khô miệng; khám lâm sàng miệng; cảm giác khô; khó nuốt; thay đổi vị giác; nói khó
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0246,Khi nào cần chuyển bệnh nhân khô miệng sang khám Răng Hàm Mặt?,"Khi bệnh nhân có sâu răng lan rộng, nhiễm nấm miệng hoặc khó khăn rõ rệt trong ăn uống và giao tiếp.",Khô miệng chuyển nha sĩ; Khi nào chuyển RHM; Chỉ định khám RHM khô miệng; Khô miệng dai dẳng; Khô miệng nguyên nhân răng; Biến chứng khô miệng nha khoa; Chuyển tuyến RHM khô miệng
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0247,Vai trò của kiểm soát đường huyết trong điều trị khô miệng là gì?,"Kiểm soát đường huyết tốt giúp giảm tổn thương thần kinh, cải thiện lưu lượng nước bọt và giảm triệu chứng khô miệng.",Khô miệng; Xerostomia; Đái tháo đường; Kiểm soát đường huyết; Đường huyết khô miệng; Biến chứng đái tháo đường; Lưu lượng nước bọt; Điều trị khô miệng
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0248,Tại sao cần xem xét thuốc đang dùng ở bệnh nhân khô miệng?,"Vì một số thuốc có tác dụng phụ gây giảm tiết nước bọt, việc điều chỉnh hoặc thay đổi thuốc có thể cải thiện triệu chứng.",Khô miệng; thuốc khô miệng; tác dụng phụ thuốc; xerostomia; giảm tiết nước bọt; điều chỉnh thuốc; quản lý thuốc
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0249,Vì sao cần phối hợp với bác sĩ RHM trong điều trị khô miệng?,"Bác sĩ RHM có thể điều trị các biến chứng răng miệng, hướng dẫn chăm sóc và sử dụng sản phẩm hỗ trợ tiết nước bọt.",Phối hợp RHM khô miệng; Lợi ích phối hợp RHM; Hợp tác nội tiết RHM; Điều trị khô miệng đa chuyên khoa; Vai trò nha sĩ khô miệng; Chăm sóc toàn diện khô miệng
BỆNH LÝ RĂNG MIỆNG,Khô miệng,Q0250,Người bị khô miệng nên làm gì để phòng ngừa biến chứng?,"Nên uống nước thường xuyên, sử dụng sản phẩm kích thích tiết nước bọt, duy trì vệ sinh răng miệng tốt và khám nha định kỳ.",Phòng ngừa biến chứng khô miệng; Chăm sóc răng miệng khô miệng; Giữ ẩm miệng; Vệ sinh răng miệng khô miệng; Giảm rủi ro khô miệng; Lời khuyên khô miệng
BỆNH LÝ RĂNG MIỆNG,Nhiễm trùng vùng hàm mặt,Q0251,Nhiễm trùng vùng hàm mặt là gì?,"Nhiễm trùng vùng hàm mặt là tình trạng viêm nhiễm xảy ra tại các mô mềm hoặc xương ở khu vực quanh miệng, hàm và mặt, thường khởi phát từ các ổ nhiễm trong khoang miệng như răng sâu, viêm tủy, viêm nha chu hoặc viêm tuyến nước bọt. Bệnh có thể khu trú tại chỗ hoặc lan rộng sang các khoang sâu vùng mặt, gây nguy hiểm đến tính mạng nếu không xử trí kịp thời.",Nhiễm trùng hàm mặt là gì; Định nghĩa nhiễm trùng hàm mặt; Viêm nhiễm vùng hàm mặt; Bệnh nhiễm trùng hàm mặt; Các loại nhiễm trùng hàm mặt
BỆNH LÝ RĂNG MIỆNG,Nhiễm trùng vùng hàm mặt,Q0252,Nguyên nhân thường gặp gây nhiễm trùng vùng hàm mặt là gì?,"Các nguyên nhân thường gặp bao gồm: sâu răng tiến triển dẫn đến viêm tủy và áp xe quanh chóp; viêm nha chu nặng gây tiêu xương và lan viêm ra mô mềm xung quanh; viêm tuyến nước bọt, đặc biệt ở người lớn tuổi hoặc có bệnh nền như ĐTĐ; chấn thương vùng miệng hoặc thủ thuật nha khoa không đảm bảo vô khuẩn.",nhiễm trùng hàm mặt; nguyên nhân hàm mặt; sâu răng; áp xe răng; viêm nha chu; viêm tuyến bọt; biến chứng nha khoa; đái tháo đường
BỆNH LÝ RĂNG MIỆNG,Nhiễm trùng vùng hàm mặt,Q0253,Sâu răng có thể dẫn đến nhiễm trùng vùng hàm mặt không?,"Có. Sâu răng khi không được điều trị sẽ tiến triển đến viêm tủy, sau đó vi khuẩn lan ra vùng chóp răng gây áp xe quanh chóp. Nếu không xử lý kịp thời, nhiễm trùng có thể lan ra các khoang mặt – cổ, thậm chí gây nhiễm trùng huyết.",Sâu răng gây nhiễm trùng hàm mặt; Nhiễm trùng hàm mặt do sâu răng; Biến chứng sâu răng; Sâu răng ảnh hưởng hàm mặt; Viêm tủy răng hàm mặt; Áp xe răng hàm mặt
