ĐỀ MỤC,CHỦ ĐỀ CON,MÃ SỐ,CÂU HỎI,CÂU TRẢ LỜI,keywords
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q001,Hệ thống phân loại bệnh nha chu mới nhất của AAP được ban hành khi nào?,"Năm 2017, AAP công bố hệ thống phân loại mới bao quát tình trạng lành mạnh, bệnh nướu, bệnh nha chu và bệnh quanh implant.",Phân loại nha chu AAP; Hệ thống phân loại AAP; Phân loại bệnh nha chu; Tiêu chuẩn phân loại nha chu; Hướng dẫn phân loại nha chu; Bảng phân loại nha chu; AAP nha chu; Phân loại mới nha chu
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q002,Nướu khỏe mạnh có đặc điểm gì?,"Màu hồng nhạt, săn chắc, không viêm, không chảy máu khi thăm khám, không mất bám dính và không tiêu xương.",nướu khỏe mạnh; đặc điểm nướu; nướu hồng; không chảy máu; săn chắc; viền nướu; khe nướu; hình thái nướu
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q003,Viêm nướu do mảng bám là gì?,"Viêm giới hạn ở mô nướu, chưa gây mất bám dính hoặc tiêu xương, nguyên nhân chính là mảng bám vi khuẩn.",Viêm nướu; viêm lợi; mảng bám; viêm nướu mảng bám; định nghĩa viêm nướu; không mất bám dính; nướu sưng đỏ; nguyên nhân viêm nướu; vi khuẩn mảng bám; tình trạng nướu
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q004,Viêm nướu không do mảng bám gồm những nguyên nhân nào?,"Do thuốc (phenytoin, ciclosporin…), bệnh toàn thân (bệnh bạch cầu, đái tháo đường), hoặc yếu tố môi trường (chấn thương, dị ứng).",Viêm nướu không mảng bám; viêm nướu do thuốc; phì đại nướu thuốc; viêm nướu toàn thân; nướu đái tháo đường; nướu bệnh bạch cầu; nướu chấn thương; nướu dị ứng; phenytoin; ciclosporin
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q005,Tiêu chí chẩn đoán viêm nha chu là gì?,"Có mất bám dính lâm sàng, tiêu xương ổ răng, tụt nướu và/hoặc hình thành túi nha chu.",chẩn đoán viêm nha chu; tiêu chí viêm nha chu; mất bám dính; túi nha chu; tiêu xương; chảy máu nướu; di động răng; viêm nướu
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q006,Viêm nha chu được phân loại theo yếu tố nào?,"Theo giai đoạn (Stage I–IV) dựa trên mức độ tổn thương, và cấp độ tiến triển (Grade A–C) dựa trên tốc độ tiến triển và yếu tố nguy cơ.",phân loại nha chu; giai đoạn nha chu; cấp độ nha chu; tiêu chí phân loại; đánh giá nha chu; chẩn đoán nha chu; mức độ nha chu; tiến triển nha chu
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q007,Đặc điểm của viêm nha chu Stage I là gì?,"Mất bám dính nhẹ (1–2 mm), tiêu xương nhẹ, không mất răng do nha chu.",viêm nha chu giai đoạn I; nha chu stage I; đặc điểm nha chu I; mất bám dính nhẹ; tiêu xương nhẹ; chẩn đoán nha chu I; tiêu chuẩn nha chu I
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q008,Đặc điểm của viêm nha chu Stage IV là gì?,"Mất bám dính nặng (>5 mm), tiêu xương lan rộng, mất ≥5 răng, ảnh hưởng chức năng nhai và khớp cắn.",viêm nha chu Stage IV; giai đoạn 4; mất răng; di động răng; mất chức năng; tiêu xương nặng; điều trị phức tạp; khớp cắn
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q009,Grade C trong viêm nha chu nghĩa là gì?,"Bệnh tiến triển nhanh, thường kèm yếu tố nguy cơ cao như hút thuốc nhiều, kiểm soát đường huyết kém.",Grade C nha chu; Phân loại viêm nha chu; Tiến triển nhanh nha chu; Yếu tố nguy cơ nha chu; Hút thuốc nha chu; Đái tháo đường nha chu; Đánh giá nha chu; Tiên lượng nha chu
" Viêm nướu và Viêm nha chu
 Mất răng trầm trọng",,Q010,Bệnh nha chu hoại tử là gì?,"Viêm và hoại tử mô nướu, dây chằng nha chu và/hoặc xương ổ răng, thường gặp ở bệnh nhân suy giảm miễn dịch hoặc suy dinh dưỡng.",Nha chu hoại tử; Viêm nha chu hoại tử; NUG; NUP; Hoại tử nướu; Tổn thương nha chu; Bệnh nha chu cấp; Nha chu suy giảm miễn dịch
