question,context,answers,answer_sentence,topic,reference,id
what is the nature of the protective reflex that stops chewing?,"the nerve endings in the temporomandibular joints and the masticatory muscles also send impulses to the special proprioceptor nucleus in the mid-brain and from there to the motor nucleus of the muscles of mastication. with the increased power demands of various foods more frequent and numerous impulses arrive at the motor nucleus from the periodontal membranes, temporomandibular joints and the musculature. this increased tempo of signals results in a crescendo of muscular effort sufficient to overcome the food resistance or until occlusal contact is obtained. until occlusal contact is obtained. the protective nature of this entire system has been experienced by all of us. if in chewing, we accidentally strike the tongue or a piece of bone in our food, we are immediately surprised with the rapid cessation of chewing and reversal of the closing movement. it was not pain that caused the muscles the tongue or a piece of bone in our and reversal of the closing movement. it was not pain that caused the muscles to relax for we are not aware of it until a few milliseconds after we have stopped chewing. what did stop our chewing was a protective reflex primarily tactile and proprioceptive in nature. this, of course, is an unusual example of oral proprioception being brought to a conscious level. this special aspect of nervous function is continually active at a reflex level. the presence of ill-fitting restorations, whether operative or prosthetic, are man-made irritants and stimulants to a proprioceptive response. the occurrence of malpositioned teeth before and after orthodontic treatment is also a factor initiating altered functional patterns and protective reflexes.","{'answer_start': [1162], 'text': ['primarily tactile and proprioceptive']}",,clinical,"{'authors': ['Harold T. Perry, Jr., D.D.S., M.S.D.'], 'doi': 'https://doi.org/10.1043/0003-3219(1956)026<0121:FCACPA>2.0.CO;2', 'meta': 'Angle Orthod (1956) 26 (3): 121–128.', 'title': 'Facial, Cranial and Cervical Pain Associated With Dysfunctions of the Occlusion and Articulations of the Teeth'}",f7bc3ef3-892f-4cd2-a9b6-c8e14b05b666
"in growing class ii patients with mandibular retrusion treated with the bionator appliance, what is the effect of the appliance when used at the peak of the pubertal growth spurt?","the findings of the present study indicate clearly that significant long-term changes in the occlusal relationships and mandibular growth increments can be achieved by bionator therapy only when functional treatment includes the pubertal growth spurt. according to the new cvm method, these data indicate that functional jaw orthopedics with the bionator should start not earlier than cvms ii (when a concavity is evident at the lower borders of both the second and third cervical vertebrae). in the long term, the late-treated subjects, who started bionator treatment at the growth spurt, showed a significant improvement in the overjet ( 4.2 mm) and a favorable change in the molar relation ( 2.1 mm). the amount of supplementary elongation of the mandible in the ltg when compared with corresponding controls (5.1 mm) was two and a half times that of the etg (1.9 mm), and it was produced almost entirely by bionator therapy. posttreatment changes were not significant. the greater increase in total mandibular length (co-pg) was associated with significant supplementary increases in the height of the mandibular ramus (co-go, 4.8 mm) in the group treated at the peak when compared with the corresponding control group, whereas only a 0.5-mm change for this measurement was recorded in the etg. these results have significance not only at the statistical level but also are relevant clinically.","{'answer_start': [977], 'text': ['greater increase in total mandibular length (co-pg) was associated with significant supplementary increases in the height of the mandibular ramus']}",,clinical,"{'authors': ['Kurt Faltin, Jr, DDS, PhD', 'Rolf M. Faltin, DDS, MSc, PhD', 'Tiziano Baccetti, DDS, PhD', 'Lorenzo Franchi, DDS, PhD', 'Bruno Ghiozzi, DDS', 'James A. McNamara, Jr, DDS, PhD'], 'doi': 'https://doi.org/10.1043/0003-3219(2003)073<0221:LEATTF>2.0.CO;2', 'meta': 'Angle Orthod (2003) 73 (3): 221–230.', 'title': 'Long-term Effectiveness and Treatment Timing for Bionator Therapy'}",a8ef1b09-5acf-477a-a0d5-37ade21bee8f
what is the mode of inheritance of achondroplasia?,"dwarfism occurs in about in in 1 in 26,000 individuals. achondroplasia is the most common form of dwarfism, and about 90% of cases are caused by new mutation. it is an autosomal dominant trait that affects males and females equally. recent biochemical investigations indicate that the congenital defect factor receptor fgfr is responsible for achondroplasia. it appears that recurrent mutations of a single amino acid in the transmembrane domain of the fgfr protein is the culprit. manifestations of achondroplasia include short stature and craniofacial malformations, including a short cranial base with early spheno-occipital closure and megalocephaly. failure of normal cartilage proliferation leads not only to characteristically short arms and legs, but also to underdevelopment of the midface because the upper jaw is not translated forward by normal lengthening of the cranial base. cephalometric characteristics of achondroplasia include an enlarged calvaria with hydrocephaly and frontal bossing, short posterior cranial base, retrognathic maxilla, normal mandible, and protrusive maxillary incisors. the patient in this report had maxillary skeletal retrognathia and severe maxillary dental protrusion. this case was treated orthodontically and has remained stable during a 2-year retention period. the patient, a 10-year-old japanese girl with achondroplasia, was 109 cm tall at the initial visit. she was diagnosed as achondroplastic at birth and had been receiving growth hormone treatment three times per day for 2 years at the department of pediatrics, tokushima university medical hospital. her chief complaint was maxillary protrusion. she had a history of tongue thrusting and lower lip biting. her dental history was unremarkable, and she appeared to be well adjusted, healthy, and intelligent. typical of achondroplasia, the patient exhibited a concave soft-tissue profile with a bulging forehead and a retrognathic maxilla. the nose was saddle-shaped because of lack of development of the nasomaxillary complex. there were no apparent major asymmetries, judging from both lateral and frontal photographs. the maxillary incisors were protrusive, causing the upper lip to protrude (figure 1a-c).","{'answer_start': [159], 'text': ['it is an autosomal dominant trait']}",,pathology,"{'authors': ['Tomoko Ohba, DDS', 'Yasuo Ohba, DDS, PhD', 'Satoru Tenshin, DDS, PhD', 'Teruko Takano-Yamamoto, DDS, PhD'], 'doi': 'https://doi.org/10.1043/0003-3219(1998)068<0377:OTOCID>2.3.CO;2', 'meta': 'Angle Orthod (1998) 68 (4): 377–382.', 'title': 'Orthodontic treatment of Class II Division 1 malocclusion in a patient with achondroplasia'}",bc1f9640-0d75-4124-b85f-d903c9cc1f07
"in horizontal tooth movement, what type of force delivery method is more effective between continuous and interrupted continuous?","the aim of the present clinical investigation was to assess the effects of continuous and interrupted continuous forces of the same magnitude (50 cn~ 50 g) on orthodontic tooth movement and related adverse tissue reactions, i.e., root resorption. thirty-two maxillary first premolars in 16 patients, 8 boys and 8 girls (mean age 13.9 years), were moved buccally by means of a fixed orthodontic appliance with a sectional arch. the patients were divided into two groups of 8, for experimental periods of 4 and 7 weeks. the continuous force was checked and reactivated weekly to 50 cn. the interrupted continuous force applied to the contralateral premolars was left uncontrolled for 3 weeks, after which the arch was made passive for 1 week for tissue rest and recovery. tooth movements were studied on dental casts using a coordinate measuring machine (validator 100, tesa sa, renens, switzerland). horizontal tooth movement with continuous force was more effective than with interrupted continuous force after 7 weeks. histological sections of the experimental teeth, however, showed no in the amount or severity of root resorption between the two forces. individual variations in both the magnitude of tooth movement and the amount and severity of root resorption for both of the two force systems were great.","{'answer_start': [930], 'text': ['continuous force was more effective than with interrupted continuous force']}",,biology,"{'authors': ['Py Owman-Moll, DDS, Odont Dr', 'Jüri Kurol, DDS, Odont Dr', 'Dan Lundgren, DDS, Odont Dr'], 'doi': 'https://doi.org/10.1043/0003-3219(1995)065<0395:CVICOF>2.0.CO;2', 'meta': 'Angle Orthod (1995) 65 (6): 395–401.', 'title': 'Continuous versus interrupted continuous orthodontic force related to early tooth movement and root resorption'}",3b3bce56-bfce-451b-8781-279084c63281
"regarding hypersensitivity to materials, which metals can cause an allergic reaction?","in general, a small amount of metal can cause metal allergies in daily life. mercury, nickel, chromium, cobalt, copper, tin, gold, platinum, palladium, antimony, silver, iron, zinc, cadmium, and manganese all have been shown to be causative agents of metallic allergy. metal allergic diseases thought to be related to dental metals have recently become a serious problem. in this case, allergic hypersensitivity in the form of lip swelling and redness was induced after orthognathic surgery. in clinical cases, allergic contact hypersensitivity to nickel develops much more readily in inflamed skin than in normal skin. in this way, sensitization to nickel develops much more easily in the presence of strong inflammation. at the inflammation site, reactive oxygen species such as hydrogen peroxide (h2o2) and hypochlorite (ocl )4 are produced by phagocytes. in the case of nickel hypersensitivity, these powerful oxidants can oxidize ni2+ to the higher oxidation states of ni3+ and ni4+, respectively,19 which have a far greater chemical reactivity than ni2+. it has also been reported that sensitization is achieved by injecting ni2+ or by administering nickel as ni3+ and ni4+. the results showed that ni3+ and ni4+, but not ni2+ alone, were able to sensitize native t cells. these findings might explain why hypersensitivity against nickel in humans develops much more easily in inflamed skin than in normal skin, since both ni3+ and ni4+ can be generated from ni2+ by reactive oxygen species released during inflammation. in fact, we previously established a nickel-hypersensitized animal model by injecting nickel at the inflammation site. cr4+ species are strong oxidants that act as carcinogens, mutagens, and teratogens in biological systems. the high solubility, bioavailability, and toxicity of cr4+ make it a particular environmental concern. in contrast, cr3+ species have low toxicity, in part because their bioavailability is limited by their low solubility and their tendency to form strong complexes with organics and hydroxo complexes. higher chromium oxidation states also possess a far greater chemical reactivity.","{'answer_start': [77], 'text': ['mercury, nickel, chromium, cobalt, copper, tin, gold, platinum, palladium, antimony, silver, iron, zinc, cadmium, and manganese']}",,materials,"{'authors': ['Hideki Kitaura', 'Yuji Fujimura', 'Noriko Nakao', 'Toshiko Eguchi', 'Noriaki Yoshida'], 'doi': 'https://doi.org/10.2319/082306-344', 'meta': 'Angle Orthod (2007) 77 (5): 923–930.', 'title': 'Treatment of a Patient with Metal Hypersensitivity after Orthognathic Surgery'}",db8fd954-5bfd-4a4c-92e7-8925e5acdc7b
"in children, when does a thumb sucking habit usually stop?","postretention evaluation five years after the completion of the active treatment the cephalometric superimposition (fig. ure 12) and intraoral photos (figure 13a-c) showed minimal postretention changes. the overjet and overbite were slightly improved postretention and the intercuspation had also improved. mild crowding had developed in the mandibular anterior areas. when studied from the psychological aspect persistent finger-sucking habits may be related to hunger, a need to satisfy a natural sucking instinct, insecurity or even a desire to attract attention. most finger-sucking habits usually stop by age 3 or 4 with no influence on the permanent dentition and are generally not dealt with as a separate problem in orthodontic treatment. if, however, the habit continues until the permanent incisors erupt, then the finger-sucking habit may be a direct cause of open bite. the most common dental consequence is for the thumb to push the maxillary incisors labially and the mandibular incisors lingually. the habit also causes a narrowing of the maxillary arch and maxillary dentoalveolar or skeletal protrusion. however, this patient had a severe deep overbite, which may have been influenced by the loss of posterior dental support from premature loss of primary teeth, or more likely from forward mandibular rotation during growth. the decision was made not to use any appliances to prevent the thumb-sucking habit because the patient years old and had expressed of the consequences of his habit as well as a willingness to attempt to control it. elimination of the thumb-sucking habit was accomplished within weeks after the start of the motivational therapy. patients who present with maxillary protrusion can be classfied as having dentoalveolar or skeletal components or a combination of the two. early treatment is frequently recommended to correct intermaxillary skeletal and dentoalveolar relationships by placing a distal force on the maxilla, typically with a headgear. in this case, cervical headgear and a maxillary biteplate were used in combination as initial appliances. the goal was to correct the maxillary protrusion with the distal force placed by the headgear on the maxillary first molars. cephalometric analysis (figure 4) indicated that forward maxillary growth was restrained. the bite plate had the effect of allowing free eruption of the posterior teeth, thereby decreasing the overbite. this also allowed the mandible to escape the confining effect of the deep overbite.","{'answer_start': [567], 'text': ['most finger-sucking habits usually stop by age 3 or 4']}",,growth,"{'authors': ['Shigemi Goto, DDS, PhD', 'Robert L. Boyd, DDS, MEd', 'Ib Leth Nielsen, DDS', 'Tetsuo Iizuka, DDS, PhD'], 'doi': 'https://doi.org/10.1043/0003-3219(1994)064<0007:LFOOTO>2.0.CO;2', 'meta': 'Angle Orthod (1994) 64 (1): 7–12.', 'title': 'Long-term followup of orthodontic treatment of a patient with maxillary protrusion, severe deep overbite and thumb-sucking'}",a639254b-e6b9-4400-a0e2-a6815fad1498
how many syndromes are associated with supernumerary teeth?,"supernumerary teeth may be defined as any teeth or tooth substance in excess of the usual configuration of 20 deciduous and 32 permanent teeth. supernumerary teeth may occur singly, multiply, unilaterally, or bilaterally and in one or both jaws. they occur more frequently in males. rajab and hamdan reported in their study that males were more affected than were females, the sex ratio being 2.2:1. mitchell reported a 2:1 ratio in favor of males. hongstrum and andersson and brook also reported a 2:1 ratio of sex distribution, whereas luten found a sex distribution of 1.3:1. the most common supernumerary teeth, listed in order of frequency, are the maxilla midline supernumeraries, maxillary fourth molars, maxillary paramolars, mandibular premolars, maxillary lateral incisors, mandibular fourth molars, and maxillary premolars. over 20 syndromes and developmental conditions have been found to be associated with single supernumerary teeth and multiple supernumerary teeth developing as part of systemic conditions such as cleidocranial dysplasia, gardners syndrome, and cleft lip and palate. the occurrence of multiple supernumerary teeth without any associated systemic conditions or syndromes, however, is a rare phenomenon. single supernumeraries occur in 76 86% of cases, double supernumeraries in 12 23% of cases, and multiple supernumeraries in less than 1% of cases. although multiple supernumerary teeth without associated syndromes are rare, their occurrence can create a variety of clinical problems such as crowding, delayed eruption, diastema, rotations, cystic lesions, and resorption of the adjacent teeth. hence, suitable treatment after proper clinical and radiographic evaluation is essential. the aim of this report is to document two rare cases of familial occurrence of multiple supernumerary teeth occurring as an isolated nonsyndromic trait and to discuss the treatment modalities.","{'answer_start': [835], 'text': ['over 20 syndromes and developmental conditions']}",,pathology,"{'authors': ['Ayşe Işıl Orhan', 'Levent Özer', 'Kaan Orhan'], 'doi': 'https://doi.org/10.1043/0003-3219(2006)076[0891:FOONMS]2.0.CO;2', 'meta': 'Angle Orthod (2006) 76 (5): 891–897.', 'title': 'Familial Occurrence of Nonsyndromal Multiple Supernumerary Teeth: A Rare Condition'}",59c261aa-dffb-4a6d-a115-5ed0540b0b4d
what are the clinical manifestations of osteochondroma of the mandibular condyle?,"many explanations have been offered as to the cause of asymmetries, including genetic imperfections in the mechanism which was meant to create symmetry, and environmental factors producing decided right-left genetic factors have been implicated in certain conditions such as multiple neuro-fibromatosis which has a familial incidence associated with a dominant another example of significant facial asymmetry occurs with hemifacial microsomia (figure 1). some clefts of the lip and/or palate are genetically influenced and result in a facial deformity with collapse of the maxillary dental such an asymmetry should show a chance distribution to either the right or left side. yet some unilateral clefts occur roughly twice as often on the left side as on the right. since it is difficult to find any nongenetic factor that would account for such the assumption is that the preference is associated with genetic differences between the halves of the body. intra-uterine pressure during pregnancy and significant pressure in the birth canal during parturition can have observable effects on the bones of the fetal skull. molding of the parietal and facial bones from these pressures can result in facial asymmetry. these effects are generally transient with rapid restoration of the normal relationships of the skull few weeks to several months. craniofacial asymmetry can be caused by various forms of pathology that are not necessarily congenital in nature. osteochondroma of the mandibular condyle results in facial asymmetry, open bite on the involved side, and mandibular deviation (figure 2).","{'answer_start': [1510], 'text': ['facial asymmetry, open bite on the involved side, and mandibular deviation']}",,pathology,"{'authors': ['Samir E. Bishara, DDS, BDS, DOrtho, MS', 'Paul S. Burkey, DDS, MS', 'John G. Kharouf, DDS, MS'], 'doi': 'https://doi.org/10.1043/0003-3219(1994)064<0089:DAFAAR>2.0.CO;2', 'meta': 'Angle Orthod (1994) 64 (2): 89–98.', 'title': 'Dental and facial asymmetries: a review'}",5b12792d-9ee3-4298-9fef-eb6eb4ddb958
"regarding cone-beam computed tomography (cbct) imaging, what is the effect of lowering the field of view (fov) on the radiation dose?","the effective doses obtained showed that standard cbct imaging still imparted higher doses of radiation than conventional orthodontic radiographs, even with shielding. ffov scans incorporating nasion to menton and tmj in the adult and child phantoms were tested. the effective dose of a ffov cbct in standard mode was more than six times higher in the adult phantom and more than two times higher in the child phantom than doses in the respective panoramic and lateral cephalometric radiographs combined. because decreasing fov lowers dose, lfov scans incorporating orbitale to menton and tmj were tested. the lfov scan combined with a lateral cephalometric radiograph can replicate information obtained from conventional orthodontic radiographs. in addition, the eyes and true horizontal can be used instead of the cranial base as a reference point in cephalometric analysis, making it possible to diagnose the relationship of the jaws and teeth with just a radiograph localized to the upper and lower jaws superimposed on photographic images of the whole face. even with shielding, the effective dose of lfov scans for the adult and child phantoms in standard mode were significantly higher than the dose of panoramic radiographs. however, a shielded lfov scan combined with a lateral cephalometric radiograph yielded significantly lower doses (p < .001) than the ffov scan in both the adult and child phantoms. limiting the fov on a cbct scan allows for increased radiation shielding. if the clinician deems a high-resolution cbct and cranial base visualization to be necessary for treatment planning, a shielded lfov scan combined with a lateral cephalometric radiograph resulted in less radiation exposure than a ffov scan.","{'answer_start': [513], 'text': ['decreasing fov lowers dose']}",,clinical,"{'authors': ['Stephanie Ting a', 'Diana Attaia b', 'K. Brandon Johnson c', 'Samer Shoukry Kossa d', 'Bernard Friedland e', 'Veerasathpurush Allareddy f', 'Mohamed I. Masoud g'], 'doi': 'https://doi.org/10.2319/072819-496.1', 'meta': 'Angle Orthod (2020) 90 (5): 655–664.', 'title': 'Can modifying shielding, field of view, and exposure settings make the effective dose of a cone-beam computed tomography comparable to traditional radiographs used for orthodontic diagnosis?'}",0fc52242-00a9-4da5-92ce-14d5cdf8673c
"in an ideal smile arc, how are the maxillary incisal edges positioned relative to the lower lip?","the primary goals of orthodontics are to establish occlusal harmony within and between the maxillary and mandibular dentition while maintaining or enhancing facial esthetics. an attractive smile is considered one of the most important attributes of facial esthetics. esthetic considerations in selecting orthodontic treatment goals have become increasingly important. attempts have been made to define and quantify the smile characteristics that are considered ideal both from orthodontists' and laypersons' perspectives. vertical positioning of upper incisors and configuration of the smile arc are two significant factors that influence smile attractiveness. angle stated that if teeth were in proper occlusion, optimal facial esthetics would be produced. burstone indicated that facial esthetics, perioral function, and stability were influenced by soft tissues. he defined anterior tooth display or lip-to-tooth as the vertical length of maxillary incisors showing below the lip at rest when both lips were unstrained and the teeth were together. peck et al. introduced the concept of smile esthetics and sought to examine the nature of the gingival smile line. ackerman and ackerman popularized the term smile arc to describe the relationship between the upper anterior teeth and the contour of the lower lip. hulsey, rigsbee et al, and ackerman and ackerman found that the unstrained, posed smile could be reproduced consistently. sarver described the smile arc as the relationship of the curvature of the incisal edges of the maxillary incisors and canines to the curvature of the lower lip in the posed smile. the ideal smile arc has maxillary incisal edges parallel to the curve of the lower lip upon smile (consonant). a smile is flat if the incisal edges are straight, and reverse if the incisal edges are aligned in an arc opposite to the contour of the lower lip. a consonant smile is considered more youthful and attractive in appearance. hulsey evaluated the smile line and showed that harmony between an arc of curvature connecting the incisal edges of upper incisors and the upper border of the lower lip was an important characteristic of an attractive smile. attractive smiles also displayed symmetry with the upper lip at the height of the gingival margin of the upper central incisors on smile. mackley attempted to determine effects of orthodontics on the smile and found that the most attractive smiles had a smiling lip line close to the gingival margin of the upper incisors. patients who showed the greatest improvements in smile appearance had a decreased vertical lip-to-tooth relationship with an increase in maxillary incisor torque. sarver and ackerman showed that careful leveling without intrusion of the maxillary incisors was important to preserve a favorable smile arc. to control overbite and maintain smile esthetics, intrusion of mandibular incisors, rather than maxillary incisors was suggested.","{'answer_start': [1642], 'text': ['maxillary incisal edges parallel to the curve of the lower lip upon smile']}",,clinical,"{'authors': ['Ahmad M. Hamdan', 'Shannon M. Lewis', 'Kevin E. Kelleher', 'Sherif N. Elhady', 'Steven J. Lindauer'], 'doi': 'https://doi.org/10.2319/030819-177.1', 'meta': 'Angle Orthod (2019) 89 (6): 847–854.', 'title': 'Does overbite reduction affect smile esthetics?'}",164ff82c-2055-41bd-8931-ae5dba5ca102
